id,name,category,price,rating,reviews,asin,url,image,isBestSeller,boughtInLastMonth
1086,"Earbuds Headphones 5 in One Pack, Wired Earbud with Heavy Bass Stereo Noise Blocking, Microphone, Compatible with iPhone, Android Phones, Laptops, Computers, iPad or Any Device with 3.5mm Interface",headphones,11.99,4.1,6632,B08MC6PLT4,https://www.amazon.com/dp/B08MC6PLT4,https://m.media-amazon.com/images/I/71oHbj0DVTL._AC_UL320_.jpg,False,0
1087,"2 Pack Apple Earbuds [Apple MFi Certified] Earphones Wired with Microphone for 3.5mm iPhone Headphones (Built-in Microphone & Volume Control) Compatible with iPhone, iPad, iPod,Computer, MP3/4,Android",headphones,12.99,4.3,6610,B0CGXJTHZ8,https://www.amazon.com/dp/B0CGXJTHZ8,https://m.media-amazon.com/images/I/512ipJzaVEL._AC_UL320_.jpg,False,0
1088,Jaybird Vista True Wireless Bluetooth Sport Waterproof Earbud Premium Headphones - Black,headphones,149.0,4.4,6604,B07R9QJS9L,https://www.amazon.com/dp/B07R9QJS9L,https://m.media-amazon.com/images/I/51GR0SR+o3L._AC_UL320_.jpg,False,0
1089,"Skullcandy Riff On-Ear Wireless Headphones, 34 Hr Battery, Microphone, Works with iPhone Android and Bluetooth Devices - Blue/Sunset",headphones,43.95,4.4,6569,B07HBCWB8Z,https://www.amazon.com/dp/B07HBCWB8Z,https://m.media-amazon.com/images/I/71Y9bkev+iL._AC_UL320_.jpg,False,0
1090,"Boean Bluetooth Headphones, Wireless Earbuds with 16 Hours Playtime Bluetooth 5.3 Wireless Headphones HD Deep Bass Stereo CVC 8.0 Sound Isolation IPX7 Waterproof Earphones for Workout Running Sports",headphones,15.98,4.3,6549,B09KGLRF8J,https://www.amazon.com/dp/B09KGLRF8J,https://m.media-amazon.com/images/I/618sOXqdTXL._AC_UL320_.jpg,False,0
1091,"TRANYA Upgraded T10 Wireless Earbuds, 12mm Driver with Premium Deep Bass, Low Latency Game Mode, IPX7 Waterproof, Bluetooth 5.1 in Ear Headphones and Fast Charging",headphones,35.99,4.3,6548,B01N5Q0TFM,https://www.amazon.com/dp/B01N5Q0TFM,https://m.media-amazon.com/images/I/61R-SLR8UeL._AC_UL320_.jpg,False,0
1092,"Hikapa X9 Wireless Earbuds Bluetooth 5.3 Headphones Waterproof Stereo Earphones in Ear Touch Control with Microphone Headset with Deep Bass for Sport, Gaming and Running(Black)",headphones,12.99,4.1,6543,B09PL5V4R9,https://www.amazon.com/dp/B09PL5V4R9,https://m.media-amazon.com/images/I/61Fuu+r50EL._AC_UL320_.jpg,False,0
1093,ElloGear OEM Earbuds Stereo Headphones for Samsung Galaxy S10 S10e Plus A31 A71 Cable - Designed by AKG - with Microphone and Volume Buttons (Black),headphones,17.95,4.3,6498,B08431V1JG,https://www.amazon.com/dp/B08431V1JG,https://m.media-amazon.com/images/I/617C88brcIL._AC_UL320_.jpg,False,0
1094,"Samsung Galaxy Buds Live, Wireless Earbuds w/Active Noise Cancelling, Mystic Black, International Version",headphones,68.5,4.5,6488,B08FT3ZMF3,https://www.amazon.com/dp/B08FT3ZMF3,https://m.media-amazon.com/images/I/61noNa-QbFL._AC_UL320_.jpg,False,0
1095,QCY T13 True Wireless Earbuds Bluetooth 5.1 Headphones Touch Control with Charging Case Waterproof Stereo Earphones in-Ear Built-in Mic Headset 40H Playtime (Black),headphones,29.99,4.3,6487,B09C1K95LB,https://www.amazon.com/dp/B09C1K95LB,https://m.media-amazon.com/images/I/61qif4R55hL._AC_UL320_.jpg,False,0
1096,JVC HAF160B Gumy Ear Bud Headphone Black,headphones,7.95,4.4,6444,B00DSTBMPC,https://www.amazon.com/dp/B00DSTBMPC,https://m.media-amazon.com/images/I/71d+8J4xXTL._AC_UL320_.jpg,False,0
1097,"Sony Noise Canceling Headphones WHCH710N: Wireless Bluetooth Over The Ear Headset with Mic for Phone-Call and Alexa Voice Control, Black",headphones,143.8,4.4,6418,B086LLYK4S,https://www.amazon.com/dp/B086LLYK4S,https://m.media-amazon.com/images/I/51JnfYw9-tL._AC_UL320_.jpg,False,0
1098,"Razer Kraken Tournament Edition THX 7.1 Surround Sound Gaming Headset: Retractable Noise Cancelling Mic - USB DAC -  for PC, PS4, PS5, Nintendo Switch, Xbox One, Xbox Series X & S, Mobile – Black",headphones,81.91,4.4,6350,B07G4KD8WW,https://www.amazon.com/dp/B07G4KD8WW,https://m.media-amazon.com/images/I/51WSPbizf6L._AC_UL320_.jpg,False,0
1099,Powerbeats Pro Totally Wireless & High-Performance Bluetooth Earphones Black (Renewed),headphones,135.0,4.4,6303,B07VRF9H27,https://www.amazon.com/dp/B07VRF9H27,https://m.media-amazon.com/images/I/51GYim3yhKL._AC_UL320_.jpg,False,0
1100,Boean Bluetooth Headphones Wireless Earbuds Bluetooth 5.3 Running Headphones IPX7 Waterproof Earphones with 16 Hrs Playtime Stereo Sound Isolation Headsets for Workout Gym,headphones,19.99,4.3,6291,B09CYL1C2X,https://www.amazon.com/dp/B09CYL1C2X,https://m.media-amazon.com/images/I/51Df+S6UIWL._AC_UL320_.jpg,False,0
1101,Samsung Galaxy Buds Pro True Wireless Noise Cancelling Earbuds - Phantom Black,headphones,129.99,4.5,6284,B08WWRYM92,https://www.amazon.com/dp/B08WWRYM92,https://m.media-amazon.com/images/I/51TkK-s68qS._AC_UL320_.jpg,False,0
1102,Bluetooth Beanie Headphones Hat Unique Christmas Tech Gifts,headphones,19.91,4.5,6218,B01LWN5B2P,https://www.amazon.com/dp/B01LWN5B2P,https://m.media-amazon.com/images/I/81OnmrlUepL._AC_UL320_.jpg,False,0
1103,"Wireless Earbud,Sports Bluetooth 5.3 Headphones,Bluetooth Earbud with Mic Deep Bass,in Ear Wireless Earphones Noise Cancelling Headphones,Ear Buds with Earhooks IP7 Waterproof for iPhone/Android",headphones,50.99,4.8,6214,B07QN5SV5G,https://www.amazon.com/dp/B07QN5SV5G,https://m.media-amazon.com/images/I/61Ujl-bOAUL._AC_UL320_.jpg,False,0
1104,"WINONLY Sleep Headphones Wireless Head Band Stretchable Bluetooth 5.2 Sleep Headband Earphones, Comfy Side Sleeping Earbuds with High Definition Stereo Speakers, Electronics, Gifts for Men Women",headphones,12.99,4.2,6213,B0BXWVZRGF,https://www.amazon.com/dp/B0BXWVZRGF,https://m.media-amazon.com/images/I/81iVOM-G0QL._AC_UL320_.jpg,False,50
